2020-09-30 18:56:06,678, CALLERID(number)=0000000000, UNIQUEID=1601517354.2621, CHANNEL=SIP/668-0000057e, name=macro-filterdial
2020-09-30 18:56:07,059, CALLERID(number)=0000000000, UNIQUEID=1601517354.2621, CHANNEL=SIP/668-0000057e, name=macro-dial
2020-09-30 18:56:36,444, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=outgoing-by-calling-extension
2020-09-30 18:56:38,165, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=outgoing_portland_menu
2020-09-30 18:56:38,729, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=outgoing-dialtone-wrapper
2020-09-30 18:56:45,987, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=macro-filterdial
2020-09-30 18:56:46,367, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=macro-dial
2020-09-30 18:56:48,014, CALLERID(number)=0000000000, UNIQUEID=1601517396.2624, CHANNEL=SIP/668-00000580, name=outgoing-dialstatus-CHANUNAVAIL-twilio-termination
2020-09-30 19:33:05,666, CALLERID(number)=0000000000, UNIQUEID=1601519585.2628, CHANNEL=SIP/twilio-origination-1-00000582, name=default-incoming
2020-09-30 19:33:05,765, CALLERID(number)=0000000000, UNIQUEID=1601519585.2628, CHANNEL=SIP/twilio-origination-1-00000582, name=ring-oskar
2020-09-30 19:38:26,266, CALLERID(number)=0000000000, UNIQUEID=1601519905.2631, CHANNEL=SIP/twilio-origination-1-00000584, name=default-incoming
2020-09-30 19:38:26,368, CALLERID(number)=0000000000, UNIQUEID=1601519905.2631, CHANNEL=SIP/twilio-origination-1-00000584, name=ring-oskar
2020-09-30 19:39:26,509, CALLERID(number)=0000000000, UNIQUEID=1601519905.2631, CHANNEL=SIP/twilio-origination-1-00000584, name=incoming-dialstatus-BUSY-oskar
2020-09-30 19:42:01,490, CALLERID(number)=0000000000, UNIQUEID=1601520121.2635, CHANNEL=SIP/645-00000586, name=outgoing-by-calling-extension
2020-09-30 19:42:03,693, CALLERID(number)=0000000000, UNIQUEID=1601520121.2635, CHANNEL=SIP/645-00000586, name=outgoing_portland_menu
2020-09-30 19:42:06,133, CALLERID(number)=0000000000, UNIQUEID=1601520121.2635, CHANNEL=SIP/645-00000586, name=outgoing-dialtone-wrapper
2020-09-30 19:42:11,111, CALLERID(number)=0000000000, UNIQUEID=1601520121.2635, CHANNEL=SIP/645-00000586, name=macro-filterdial
2020-09-30 19:42:11,485, CALLERID(number)=0000000000, UNIQUEID=1601520121.2635, CHANNEL=SIP/645-00000586, name=macro-dial
2020-09-30 19:50:43,718, CALLERID(number)=0000000000, UNIQUEID=1601520643.2638, CHANNEL=SIP/668-00000588, name=outgoing-by-calling-extension
2020-09-30 19:50:44,243, CALLERID(number)=0000000000, UNIQUEID=1601520643.2638, CHANNEL=SIP/668-00000588, name=outgoing_portland_menu
2020-09-30 19:50:45,984, CALLERID(number)=0000000000, UNIQUEID=1601520643.2638, CHANNEL=SIP/668-00000588, name=outgoing-dialtone-wrapper
2020-09-30 19:50:56,422, CALLERID(number)=0000000000, UNIQUEID=1601520643.2638, CHANNEL=SIP/668-00000588, name=macro-filterdial
2020-09-30 19:50:56,802, CALLERID(number)=0000000000, UNIQUEID=1601520643.2638, CHANNEL=SIP/668-00000588, name=macro-dial
2020-10-01 01:09:19,288, CALLERID(number)=0000000000, UNIQUEID=1601539758.2641, CHANNEL=SIP/twilio-origination-2-0000058a, name=default-incoming
2020-10-01 01:09:19,390, CALLERID(number)=0000000000, UNIQUEID=1601539758.2641, CHANNEL=SIP/twilio-origination-2-0000058a, name=ring-oskar
2020-10-01 01:20:32,758, CALLERID(number)=0000000000, UNIQUEID=1601540432.2644, CHANNEL=SIP/660-0000058c, name=outgoing-by-calling-extension
2020-10-01 01:20:32,874, CALLERID(number)=0000000000, UNIQUEID=1601540432.2644, CHANNEL=SIP/660-0000058c, name=hold_the_phone_main
2020-10-01 06:32:05,743, CALLERID(number)=0000000000, UNIQUEID=1601559125.2646, CHANNEL=SIP/685-0000058d, name=outgoing-by-calling-extension
